landing_id,activity_period,operating_airline,operating_iata,published_airline,published_iata,geo_summary,geo_region,landing_aircraft_type,body_type,aircraft_manufacturer,aircraft_model,aircraft_version,landing_count,total_landed_weight,airline_id,airport_id,runway_id,weather_id,flight_id,pilot_id,delay_id,maintenance_id,aircraft_capacity
2824,202406,Davis-Myers,JMF,Chase-Anderson,NVI,Domestic,Europe,Turboprop,Wide-body,Embraer,737,-1000,2,324685,295,188,181,37,12699,991,2981,1792,250
2825,202101,Hughes Group,TBW,Blair-Smith,NLR,International,Asia,Jet,Narrow-body,Embraer,737,-200,5,77553,380,153,39,74,12929,257,2972,4526,150
2826,202503,Park Inc,DPF,"Curtis, Williamson and Foster",ZGP,International,Oceania,Jet,Narrow-body,Boeing,737,-1000,2,95253,84,238,38,46,1215,952,2607,4474,180
2827,202410,"Keller, Anderson and Peterson",UKD,"Garrett, Bradford and Valdez",KAN,International,Asia,Jet,Wide-body,Airbus,E190,-900,8,155097,95,295,181,71,2281,838,2187,3633,220
2828,202412,"Chapman, Scott and Thomas",SVY,Moreno LLC,HJU,Domestic,South America,Turboprop,Wide-body,Airbus,737,-1000,7,366018,282,181,102,69,1006,471,596,2893,150
2829,202105,"Stout, Wong and Lee",VVX,Anderson PLC,QIN,International,Oceania,Helicopter,Narrow-body,Boeing,CRJ900,-200,10,311903,55,192,129,96,3625,239,1181,3245,150
2830,202309,Ford-Jones,CIE,Rodriguez PLC,XDT,International,Asia,Turboprop,Narrow-body,Boeing,737,-900,5,162180,396,207,28,64,18223,999,1918,3648,150
2831,202105,Hopkins PLC,DXL,"Williams, Copeland and Williams",ZYB,International,North America,Jet,Wide-body,Embraer,737,-800,8,78215,356,168,173,85,11170,396,1628,3862,250
2832,202201,Bell-Peterson,KQC,Patterson PLC,BVE,Domestic,Asia,Turboprop,Narrow-body,Embraer,737,-800,10,214010,160,38,143,4,10218,287,2596,132,180
2833,202303,"Roberts, Davis and Bishop",YVO,Johnson Inc,EGP,International,Africa,Helicopter,Narrow-body,Embraer,737,-900,1,386453,297,232,75,69,3463,101,1539,1547,180
2834,202110,Johnson PLC,XKY,Carlson Group,VRT,International,Asia,Turboprop,Wide-body,Boeing,737,-800,3,209301,68,102,92,39,9673,37,2709,2071,200
2835,202012,"Jones, Murray and Campos",DIG,Johnston Inc,QAP,International,Europe,Jet,Narrow-body,Airbus,A320,-1000,8,375664,244,206,119,33,9902,124,1477,1012,250
2836,202404,Roach Group,ZTS,Walker-Gomez,DNZ,International,Oceania,Helicopter,Narrow-body,Bombardier,CRJ900,-200,4,150056,155,97,3,92,5654,690,2789,2354,220
2837,202210,"Collins, Howard and Gill",APC,Francis Ltd,MCR,Domestic,North America,Turboprop,Wide-body,Boeing,CRJ900,-200,8,110055,121,225,108,45,3080,427,1447,2444,150
2838,202403,"Meyer, Jones and Wilson",QGG,Vargas-Novak,RHQ,International,North America,Jet,Wide-body,Bombardier,737,-800,10,179509,300,179,81,20,9205,808,946,2809,150
2839,202206,Smith Inc,MKV,Byrd and Sons,ZXI,International,South America,Helicopter,Wide-body,Bombardier,CRJ900,-800,8,220607,68,50,192,24,2514,615,771,2032,220
2840,202407,"Taylor, Wiley and Deleon",FIS,Munoz Group,YMX,Domestic,Oceania,Jet,Wide-body,Embraer,E190,-200,9,140531,94,137,95,41,11307,738,698,4948,150
2841,202010,Marsh Inc,MGD,Wilkinson-Smith,BOW,Domestic,Oceania,Turboprop,Narrow-body,Bombardier,CRJ900,-800,10,103978,34,156,91,50,17840,701,1126,737,250
2842,202111,Wilkerson PLC,YMH,Moreno-Smith,ZVI,Domestic,South America,Helicopter,Narrow-body,Bombardier,E190,-200,9,284602,193,65,60,63,9244,807,612,3694,150
2843,202209,King Inc,KBU,Kelly Inc,KCP,Domestic,South America,Jet,Narrow-body,Boeing,CRJ900,-900,9,349302,290,227,87,54,10848,984,1487,988,150
2844,202301,Greene-Kelley,CSE,Hill-Hogan,RNG,International,North America,Jet,Wide-body,Embraer,E190,-200,9,225446,495,94,28,33,8245,569,5,3022,220
2845,202312,Parker LLC,UJH,"Wilson, Harris and Williams",HQN,International,Asia,Helicopter,Wide-body,Bombardier,A320,-900,7,214173,52,298,9,72,8057,122,2786,1253,180
2846,202502,Hull-Daniels,DPD,Martinez LLC,ZEB,Domestic,South America,Helicopter,Narrow-body,Airbus,A320,-800,8,309033,495,191,41,56,17710,800,1720,4635,180
2847,202307,Hogan-Simpson,CNM,Carter and Sons,SIY,International,Africa,Helicopter,Wide-body,Bombardier,A320,-200,6,96107,82,131,80,36,14291,984,3000,2615,220
2848,202201,"Valdez, Stevenson and Lewis",SLW,Jones and Sons,QBX,Domestic,Oceania,Jet,Wide-body,Bombardier,A320,-900,2,306449,73,295,6,86,21645,16,2675,2066,180
2849,202304,Brooks LLC,JLL,"Mcgee, Weaver and Salas",TZD,International,South America,Jet,Wide-body,Embraer,737,-900,3,374812,310,12,185,46,21278,986,2206,3097,250
2850,202410,Richards PLC,LUR,Mann PLC,DUZ,International,Europe,Turboprop,Wide-body,Embraer,737,-800,7,155542,319,240,191,96,13580,601,832,115,220
2851,202402,"Wood, Martinez and Hester",CJI,"Wright, Cook and Palmer",EJL,International,Oceania,Turboprop,Narrow-body,Airbus,CRJ900,-200,2,299449,431,133,123,89,4196,599,2465,4045,200
2852,202111,"Lopez, Lee and Brown",DNR,Mendoza Ltd,BGX,International,South America,Helicopter,Narrow-body,Airbus,737,-800,9,345582,258,74,125,21,7030,37,1140,2407,150
2853,202111,Horn Ltd,MLF,Jensen-White,OAA,Domestic,Asia,Jet,Wide-body,Embraer,CRJ900,-1000,7,75819,485,206,136,78,21707,582,2215,706,150
2854,202008,"Farmer, Orozco and Wilson",IAY,Tucker LLC,BZO,Domestic,Europe,Jet,Wide-body,Bombardier,A320,-200,7,97123,199,106,95,81,13102,670,174,882,200
2855,202109,Wade and Sons,VAC,"Reyes, Hart and Fletcher",BIP,Domestic,Asia,Turboprop,Wide-body,Boeing,E190,-800,1,205477,262,136,189,85,16591,335,762,189,150
2856,202407,"Krueger, Sims and Flores",LSF,Mayo Ltd,CDK,Domestic,Asia,Helicopter,Narrow-body,Bombardier,737,-200,5,176753,19,144,112,29,19816,624,290,1,220
2857,202206,Brown and Sons,YTV,Taylor PLC,WJV,International,Africa,Jet,Narrow-body,Boeing,737,-900,5,134676,252,257,135,33,14424,897,1254,2415,220
2858,202310,"Garza, Allen and Barber",FJH,"Green, Smith and Butler",TMK,Domestic,Oceania,Jet,Wide-body,Bombardier,E190,-800,4,163253,59,82,152,66,18739,524,660,2570,220
2859,202206,Campbell-Robinson,BYY,"Davis, Johnson and Moore",NMO,International,Oceania,Helicopter,Narrow-body,Bombardier,E190,-800,2,150829,286,60,56,56,21270,484,1006,1325,150
2860,202012,"Burns, Carrillo and Stephenson",RHE,Sutton Inc,TUW,International,North America,Jet,Narrow-body,Airbus,A320,-200,4,263098,493,193,153,29,5543,540,2893,1821,250
2861,202010,French Group,VSH,"Barnett, Frazier and Chen",SUK,International,North America,Turboprop,Wide-body,Boeing,737,-200,1,356181,463,160,79,30,20212,323,2130,992,150
2862,202103,Jordan PLC,FHE,Christensen-Le,EXI,Domestic,Africa,Jet,Wide-body,Bombardier,CRJ900,-200,3,383315,304,232,124,82,3628,950,2770,67,180
2863,202109,Sims Ltd,NGH,"Rivera, Perez and Giles",NZI,Domestic,Oceania,Jet,Narrow-body,Airbus,CRJ900,-800,4,186737,34,237,125,50,11704,629,51,1442,200
2864,202111,"Maldonado, Wyatt and Moore",CIT,Knapp Inc,TAS,International,Europe,Jet,Narrow-body,Boeing,E190,-800,10,315548,479,242,90,37,19708,806,1616,329,220
2865,202207,Craig Inc,OHP,"Cook, Smith and Green",SXA,Domestic,Asia,Jet,Narrow-body,Airbus,CRJ900,-900,4,354835,68,203,134,20,12802,75,2606,2845,200
2866,202011,Short LLC,HRV,Frost-Bryant,IDE,Domestic,South America,Helicopter,Narrow-body,Boeing,CRJ900,-900,2,278573,349,264,29,59,16114,861,2052,94,250
2867,202307,Boyd Ltd,EXB,Marsh-Rosario,DYP,International,South America,Jet,Wide-body,Bombardier,737,-1000,4,164008,122,253,51,90,17623,21,2556,2567,150
2868,202405,Kelley Group,RAP,Cooke Inc,RZI,International,Oceania,Turboprop,Narrow-body,Airbus,CRJ900,-1000,3,235974,395,152,28,21,6495,277,1156,2054,250
2869,202205,Watson and Sons,YII,"Harper, Allen and Williams",UIA,Domestic,South America,Turboprop,Wide-body,Boeing,E190,-900,2,148844,103,155,59,86,16305,916,401,1021,250
2870,202308,Davenport Ltd,BUK,"Mullins, Franklin and Blanchard",DCV,International,North America,Jet,Wide-body,Embraer,E190,-900,1,145919,106,217,24,88,13177,507,1488,3365,200
2871,202111,"Brown, Tate and Evans",KMU,"Coffey, Wiggins and Ward",IUY,Domestic,Oceania,Jet,Wide-body,Embraer,737,-1000,4,296748,64,170,126,26,6607,313,1963,4676,150
2872,202010,Banks and Sons,MOY,Williams Ltd,SMW,International,Europe,Turboprop,Wide-body,Boeing,A320,-1000,4,133141,426,195,109,39,20610,36,2876,1430,250
2873,202312,"Hoffman, Bradshaw and Robinson",MTQ,Bell-Gonzales,EKD,Domestic,Africa,Jet,Wide-body,Embraer,E190,-200,7,332848,212,188,27,24,12021,701,115,2729,250
2874,202204,Golden PLC,XYQ,West and Sons,KKG,Domestic,Oceania,Turboprop,Narrow-body,Embraer,737,-1000,3,129298,80,210,8,70,11184,667,2754,3812,220
2875,202207,"Brown, Taylor and Weber",TLU,Benjamin Ltd,MUA,Domestic,Oceania,Jet,Narrow-body,Airbus,A320,-900,3,112881,284,211,116,13,21910,936,2579,104,180
2876,202503,Padilla LLC,WFL,Solis Ltd,HXR,International,South America,Helicopter,Narrow-body,Embraer,737,-1000,4,398814,176,63,52,71,14246,589,2505,712,220
2877,202303,"Cantu, Vargas and Hunt",TDT,"Rhodes, Acevedo and Duke",XBJ,Domestic,North America,Turboprop,Wide-body,Embraer,E190,-200,8,378336,6,121,120,33,19587,141,2634,3077,180
2878,202011,Stevens-Lopez,XTB,Warren and Sons,CEK,Domestic,North America,Helicopter,Wide-body,Embraer,CRJ900,-1000,9,148671,320,223,131,81,13260,593,2444,548,250
2879,202404,Hunter-Harris,ORN,"Turner, Sanchez and Mitchell",NKU,Domestic,South America,Jet,Wide-body,Bombardier,CRJ900,-200,9,170581,82,6,164,53,14695,618,1653,850,220
2880,202407,Daniel-Lawson,KCL,Mccarty-Shelton,EQZ,Domestic,South America,Jet,Wide-body,Boeing,CRJ900,-800,5,115668,216,154,93,1,11200,733,1862,3113,180
2881,202205,Willis Ltd,EQM,Diaz Ltd,ESQ,Domestic,Asia,Helicopter,Narrow-body,Embraer,737,-800,7,312554,325,233,125,22,6597,611,1549,134,180
2882,202304,Collins Ltd,DCK,"Reese, West and Lester",KGN,Domestic,Oceania,Turboprop,Narrow-body,Airbus,A320,-200,4,219836,377,261,136,77,17864,701,61,3564,250
2883,202111,Moreno-Smith,VXV,Shea-Edwards,MDK,International,Oceania,Turboprop,Narrow-body,Boeing,737,-1000,3,73209,11,110,138,2,437,539,2748,2030,180
2884,202211,Thomas-Guzman,KBA,Mayo and Sons,QUO,Domestic,Africa,Helicopter,Narrow-body,Boeing,737,-200,4,208032,455,259,178,28,9006,326,1673,3381,250
2885,202101,Lang-Marsh,MZS,Taylor Ltd,YPZ,International,North America,Turboprop,Wide-body,Airbus,CRJ900,-1000,4,353242,254,94,117,57,5857,724,2623,121,220
2886,202308,Jackson Group,DWL,Mitchell and Sons,XZV,Domestic,Oceania,Jet,Narrow-body,Embraer,737,-200,6,141242,61,270,30,83,16249,205,274,964,250
2887,202109,"Stokes, Bowman and Olsen",EQE,Gregory Inc,PEF,International,Europe,Turboprop,Narrow-body,Bombardier,A320,-800,10,80490,45,260,39,64,19695,430,1163,3876,200
2888,202202,Young Ltd,EKX,Odom Inc,NLC,International,Africa,Turboprop,Wide-body,Bombardier,A320,-900,10,249136,42,231,94,71,14792,708,1423,4039,150
2889,202208,Lyons-Levy,JPV,"Delacruz, Kim and Williams",ITB,International,Asia,Turboprop,Narrow-body,Airbus,E190,-800,2,370188,250,138,148,97,12479,691,1737,1789,150
2890,202204,Dean-Blanchard,QTR,Jordan Group,RJW,Domestic,South America,Turboprop,Narrow-body,Bombardier,A320,-800,5,99518,330,198,82,96,1486,513,2944,3737,180
2891,202209,Henry-Rogers,GVX,Morris-Owens,CWP,International,Africa,Jet,Wide-body,Embraer,CRJ900,-900,6,175036,240,161,164,26,3587,258,344,2792,250
2892,202503,Williams-Brewer,BDI,Buchanan-Fleming,ZCG,Domestic,Oceania,Jet,Narrow-body,Bombardier,E190,-200,3,176424,239,226,168,36,10928,897,394,4369,180
2893,202208,Rivera Ltd,RNY,Ramirez-Clark,RUN,Domestic,Asia,Jet,Narrow-body,Embraer,A320,-800,8,165503,127,162,30,77,14740,208,1703,1258,200
2894,202105,Morris Inc,CTK,Hines PLC,BYG,International,Asia,Jet,Narrow-body,Embraer,E190,-900,10,377179,166,91,144,100,5624,508,1998,4723,200
2895,202309,"Hood, Daniels and Friedman",CCU,Clark LLC,PJA,Domestic,Oceania,Helicopter,Narrow-body,Airbus,E190,-900,2,130247,276,180,129,5,11507,675,133,1640,150
2896,202204,Williams-Li,IVF,"Ramos, Hale and Daniels",MBN,International,South America,Helicopter,Narrow-body,Airbus,E190,-1000,5,253325,253,250,161,76,17806,577,811,734,180
2897,202304,Moore-Johnson,MPM,Mclaughlin-Smith,QTO,Domestic,South America,Jet,Narrow-body,Embraer,E190,-800,3,314279,155,260,121,26,711,275,2020,1182,150
2898,202105,Anderson-Brooks,FGA,Bryant-Lowery,OQF,Domestic,Asia,Jet,Wide-body,Airbus,A320,-200,2,208116,389,283,73,72,20196,612,2383,1460,180
2899,202203,Mullins Group,QFB,"Valenzuela, Brown and Reyes",NHS,International,Africa,Jet,Narrow-body,Bombardier,A320,-800,8,181783,223,22,50,93,14681,306,1295,3669,180
2900,202006,Marshall-York,QYL,Walker Inc,POT,International,Africa,Helicopter,Narrow-body,Bombardier,737,-900,9,353947,300,283,177,3,7975,461,1224,4257,150
2901,202402,"Williams, Campbell and Taylor",RCP,Allen Group,DYO,International,Europe,Helicopter,Narrow-body,Embraer,A320,-800,3,336778,255,240,68,69,14108,405,2525,4979,220
2902,202210,"Hernandez, Doyle and Neal",MAR,"Brown, Collins and Charles",DWE,International,Africa,Jet,Wide-body,Airbus,CRJ900,-900,9,188513,418,235,183,60,1039,422,542,3281,180
2903,202006,"Santos, Johnson and Reed",CLP,Walker Ltd,PUO,International,Asia,Helicopter,Wide-body,Bombardier,A320,-200,8,316072,91,13,175,65,21567,374,2539,1675,200
2904,202210,Holmes-Harrell,LTO,Long-Davis,DHI,Domestic,Oceania,Helicopter,Narrow-body,Embraer,E190,-900,8,198805,347,151,167,61,13389,813,1206,791,200
2905,202108,"Hoffman, Roman and Butler",GTG,King-Welch,EPN,Domestic,Africa,Turboprop,Narrow-body,Boeing,CRJ900,-200,9,214249,341,22,96,39,13285,324,392,4437,180
2906,202210,"Cooper, Mason and Holder",BMK,Gould-Mccarty,WKM,International,South America,Helicopter,Narrow-body,Bombardier,E190,-200,9,333735,165,289,74,33,160,998,1131,2756,250
2907,202011,Garcia PLC,KBA,Walker Ltd,HAK,Domestic,Europe,Jet,Narrow-body,Embraer,A320,-200,9,220521,209,247,133,16,5707,728,1515,3748,250
2908,202403,Short and Sons,LZT,"Parker, Jacobs and Barker",WGJ,Domestic,Asia,Helicopter,Wide-body,Embraer,CRJ900,-1000,8,234050,253,22,169,51,9949,867,1463,406,150
2909,202008,Sanchez-Dorsey,EAS,Hawkins-Lowe,SUD,International,South America,Helicopter,Wide-body,Boeing,CRJ900,-200,9,392160,235,198,81,29,9800,161,2286,2094,200
2910,202112,Mckinney Inc,ROH,Brandt PLC,NOZ,International,North America,Jet,Narrow-body,Airbus,A320,-900,3,135339,386,209,162,87,9931,549,1945,421,180
2911,202303,Mills-Richardson,ASX,Pittman-Martin,IGE,Domestic,Europe,Helicopter,Narrow-body,Embraer,CRJ900,-800,4,377400,474,79,24,97,819,232,1184,4331,250
2912,202501,"Mcintyre, Palmer and Barker",SJM,Guzman-Wood,HLH,International,Oceania,Turboprop,Narrow-body,Bombardier,737,-900,9,271449,290,212,103,92,16822,144,1394,3189,250
2913,202110,Smith Inc,RVL,"Ward, Richardson and Kennedy",BFN,International,North America,Jet,Narrow-body,Embraer,A320,-200,1,167245,487,236,124,10,2206,982,2223,2616,150
2914,202406,Leach and Sons,XTG,Lee-Chapman,UTB,International,Europe,Turboprop,Wide-body,Bombardier,E190,-200,2,63627,116,201,194,75,15859,261,1497,1957,250
2915,202405,Pace-Burns,EBI,Houston Ltd,BAT,International,Asia,Helicopter,Narrow-body,Airbus,737,-900,4,331811,56,48,163,57,15680,907,347,2738,180
2916,202206,"Park, Mccullough and Owens",RBL,Simpson-Fletcher,OVM,International,North America,Helicopter,Wide-body,Airbus,CRJ900,-1000,7,206908,474,223,73,16,2719,973,170,4203,200
2917,202211,Kelly Ltd,IDI,Carter and Sons,IJS,International,Asia,Helicopter,Wide-body,Embraer,CRJ900,-200,2,130446,211,76,118,68,17972,788,823,548,200
2918,202405,Johnston-Nixon,AVM,White Ltd,PQX,International,South America,Helicopter,Narrow-body,Airbus,E190,-1000,4,58514,122,217,50,93,16164,814,2113,2000,200
2919,202305,"Hancock, Gomez and Taylor",ZUM,"Woods, Perez and Murphy",MUH,International,North America,Helicopter,Wide-body,Embraer,E190,-800,7,261956,225,116,115,28,7854,557,2972,2164,220
2920,202109,Young Group,IFD,Barton and Sons,KCL,International,Asia,Helicopter,Narrow-body,Embraer,CRJ900,-200,2,182806,108,166,129,77,7704,991,2209,4976,150
2921,202103,Collins Ltd,YFB,"Williams, Bentley and Pope",BGK,Domestic,Oceania,Helicopter,Wide-body,Bombardier,A320,-800,10,50008,163,220,193,17,10229,673,1600,4685,250
2922,202005,Anderson-Carter,FSH,"Mclaughlin, Olsen and Sloan",VYP,Domestic,Europe,Turboprop,Narrow-body,Bombardier,A320,-200,9,85351,168,235,157,9,7261,240,1216,2309,150
2923,202309,"Evans, Salinas and Woods",RJJ,Christensen-Mcgrath,NWC,Domestic,Africa,Helicopter,Narrow-body,Boeing,A320,-800,5,65838,425,203,82,69,20576,791,1511,176,250
2924,202405,Miller Inc,XRF,"Allen, Solomon and Miller",RTS,Domestic,South America,Helicopter,Narrow-body,Bombardier,CRJ900,-900,3,244493,36,218,31,9,400,118,135,4287,200
2925,202210,"Velasquez, Davis and Randall",MIV,Smith Inc,AMX,Domestic,South America,Turboprop,Narrow-body,Airbus,737,-200,10,197972,171,84,7,30,15062,839,1363,2107,150
2926,202303,Perez PLC,OBN,Roberts-Taylor,DXD,Domestic,Asia,Jet,Wide-body,Airbus,CRJ900,-200,9,233671,406,55,144,71,9579,950,333,4915,250
2927,202109,"Holt, Joyce and Moore",UNS,Campbell-Barnes,HIA,International,Africa,Jet,Narrow-body,Boeing,737,-900,9,226146,413,218,35,74,7315,662,1664,4813,250
2928,202104,Moore-Underwood,MTB,Johnson Ltd,YBD,Domestic,Oceania,Jet,Wide-body,Airbus,A320,-900,5,362904,248,221,130,6,3009,355,637,3807,250
2929,202209,"Stewart, Watkins and Horton",BAY,Hale and Sons,MOU,Domestic,South America,Turboprop,Narrow-body,Bombardier,CRJ900,-800,7,189872,121,147,1,50,5560,795,922,1415,250
2930,202302,Robinson Ltd,UEO,"Morrison, Garcia and Miller",GSI,International,Africa,Helicopter,Narrow-body,Airbus,737,-200,3,267286,191,142,151,62,18065,962,570,2822,250
2931,202501,"Miller, Jones and Mcclain",UVG,Allen-Herring,PSR,International,Asia,Turboprop,Narrow-body,Bombardier,CRJ900,-200,10,119789,433,42,13,45,8129,181,2079,4665,250
2932,202107,Nelson and Sons,SSY,"Mendoza, Collins and Alvarado",ZEC,Domestic,South America,Turboprop,Wide-body,Embraer,E190,-200,9,63334,466,204,10,81,8843,504,2098,1975,180
2933,202009,"Richards, Ross and Dean",KML,"Mccullough, Stanley and Wheeler",WOC,Domestic,Africa,Helicopter,Narrow-body,Embraer,A320,-200,2,72294,63,252,170,11,11656,712,2689,3613,250
2934,202209,Martinez-Arnold,OHI,Wilkins-Nelson,SAV,International,Asia,Turboprop,Narrow-body,Airbus,737,-1000,1,345761,247,97,155,86,10725,964,547,3390,250
2935,202107,"Sanchez, Beck and Foster",NGV,Baker Inc,HFY,Domestic,Oceania,Helicopter,Wide-body,Bombardier,CRJ900,-800,9,311536,293,104,101,54,19816,626,2978,3239,250
2936,202105,Martin and Sons,TOB,Kim Group,SEZ,Domestic,South America,Turboprop,Wide-body,Boeing,CRJ900,-1000,8,100367,307,236,83,12,18865,548,2982,4835,250
2937,202407,Reid Group,WOH,Austin-Lee,SND,International,Asia,Turboprop,Wide-body,Boeing,737,-1000,9,224289,101,39,138,16,1979,704,755,4322,200
2938,202311,Taylor and Sons,RFI,Love-Houston,WJI,Domestic,Africa,Helicopter,Narrow-body,Airbus,737,-900,6,96675,188,233,86,65,15410,99,239,4292,250
2939,202307,Novak Inc,UWR,Krueger Ltd,RUV,Domestic,South America,Turboprop,Wide-body,Embraer,737,-200,6,83195,100,48,165,2,6878,186,1966,4215,200
2940,202406,"Galvan, Jordan and White",NNP,Contreras-Davis,GGK,Domestic,Oceania,Jet,Narrow-body,Embraer,737,-1000,6,262291,5,206,115,83,265,201,2687,4400,150
2941,202311,Harper Inc,TIP,Richardson-Murphy,LRK,Domestic,South America,Helicopter,Wide-body,Embraer,E190,-1000,2,268128,478,35,50,50,9801,996,598,2927,220
2942,202203,White-Hamilton,FOM,Carter-Arnold,XRM,International,Oceania,Jet,Narrow-body,Bombardier,737,-900,10,345297,14,223,108,4,21683,211,2050,3194,180
2943,202301,Crane-Irwin,NVT,"Johnson, West and Greene",KJZ,Domestic,South America,Turboprop,Narrow-body,Boeing,A320,-900,9,390478,390,141,152,33,16779,903,2502,2410,200
2944,202108,Eaton Inc,VQX,"Gilbert, Webster and Williamson",MJA,Domestic,Africa,Jet,Wide-body,Airbus,A320,-900,5,168232,199,293,180,38,10643,632,1949,4829,180
2945,202203,Reed LLC,DTY,Cannon LLC,ELM,International,Africa,Turboprop,Wide-body,Embraer,A320,-200,5,371322,246,199,45,41,13906,729,1391,3797,180
2946,202103,Freeman and Sons,UXP,Lee-Parker,KDR,International,Oceania,Helicopter,Wide-body,Boeing,A320,-200,3,152947,469,226,41,21,14165,360,2706,2883,180
2947,202304,"Vargas, Henry and Ferrell",HVD,Jones PLC,RKU,Domestic,North America,Helicopter,Narrow-body,Embraer,A320,-200,1,356324,117,178,45,56,21613,293,2471,4067,200
2948,202102,Moran PLC,EHM,Gonzales Ltd,MVU,International,South America,Turboprop,Narrow-body,Airbus,CRJ900,-800,8,68659,383,54,173,78,14225,444,41,2895,220
2949,202105,"Torres, Kemp and Harvey",NBC,Taylor-Lee,GZW,Domestic,Europe,Jet,Narrow-body,Embraer,A320,-800,3,327105,179,261,55,26,6171,690,545,1640,180
2950,202203,"Aguilar, Miller and Soto",RBN,Gonzalez and Sons,NJW,Domestic,Europe,Jet,Narrow-body,Embraer,E190,-200,1,368152,498,8,148,95,17713,648,1585,3979,150
2951,202009,Thompson Group,ELV,Sampson-Carr,WKZ,International,Africa,Helicopter,Wide-body,Embraer,CRJ900,-200,2,264209,149,136,16,70,6654,157,1605,54,180
2952,202207,Smith-Walker,EFY,Williams-Mullen,EBA,International,Asia,Jet,Wide-body,Bombardier,CRJ900,-1000,8,331657,456,206,91,27,11960,186,1374,1119,220
2953,202408,Scott and Sons,CJL,Costa Ltd,JZP,Domestic,Asia,Helicopter,Wide-body,Airbus,E190,-800,2,198166,367,300,98,38,8426,697,1451,4632,200
2954,202211,Brown Ltd,WFE,"Murray, Wagner and Ross",RVF,Domestic,South America,Helicopter,Narrow-body,Embraer,A320,-1000,3,352791,157,222,181,10,3740,800,718,4112,180
2955,202202,Vasquez LLC,XFO,"Shannon, Cameron and Pierce",TST,International,Asia,Turboprop,Wide-body,Embraer,737,-200,10,72477,480,105,59,75,18164,715,861,2909,150
2956,202306,"Park, Taylor and Beard",YCR,Day Group,UTN,Domestic,North America,Turboprop,Wide-body,Embraer,737,-200,9,214021,493,243,88,63,10302,953,1499,355,200
2957,202409,Rodriguez Inc,YSU,Shelton Ltd,QEG,Domestic,South America,Jet,Wide-body,Airbus,A320,-200,1,215325,59,18,85,35,14910,644,594,1994,150
2958,202210,Chambers-Larson,PZW,"Howell, Zavala and Diaz",MSK,International,Europe,Jet,Wide-body,Airbus,A320,-200,6,223876,439,282,163,71,10413,511,2998,1050,220
2959,202212,Elliott Inc,XYV,"Hamilton, Ross and Jones",APO,Domestic,Africa,Jet,Narrow-body,Boeing,E190,-1000,6,257361,462,222,57,97,17653,504,2990,1573,180
2960,202306,Christian LLC,REX,Armstrong Inc,VGE,Domestic,Oceania,Helicopter,Narrow-body,Airbus,E190,-800,8,101227,173,136,177,15,8890,272,1124,3854,250
2961,202110,Martinez-Herrera,ORQ,Newton-Evans,VHT,International,North America,Turboprop,Narrow-body,Bombardier,A320,-900,10,250093,13,204,35,72,5407,574,121,2082,180
2962,202309,Williams-Tyler,BBZ,"Bray, Jones and Roach",QDO,Domestic,Europe,Jet,Wide-body,Bombardier,737,-1000,10,72297,201,232,48,2,16621,66,537,4618,180
2963,202309,Castillo Group,HLZ,Morales-Warren,XDS,International,Africa,Turboprop,Narrow-body,Embraer,737,-200,8,216515,278,41,72,1,11856,448,1575,238,250
2964,202503,Archer-Ford,LOC,"Wallace, Hall and Miller",WWP,International,Asia,Jet,Narrow-body,Boeing,A320,-800,10,295489,157,97,161,48,17220,344,560,568,180
2965,202103,Wood LLC,OGV,"Kemp, Davis and Sherman",UWL,International,Africa,Jet,Wide-body,Bombardier,A320,-1000,8,342266,194,250,146,17,14717,63,1750,127,220
2966,202110,Tucker-Bell,DRC,Salazar Inc,HEX,International,Asia,Turboprop,Wide-body,Boeing,A320,-1000,7,252786,164,124,148,87,19842,466,935,3779,220
2967,202304,Jones PLC,ZWR,"Hart, Humphrey and Gould",WKN,International,Asia,Turboprop,Narrow-body,Boeing,CRJ900,-900,4,323542,375,80,25,2,21878,747,2157,3694,250
2968,202207,Lopez-Allen,YXQ,Dillon and Sons,NOR,Domestic,Oceania,Jet,Wide-body,Bombardier,A320,-1000,6,95557,89,230,75,64,7141,985,2675,666,150
2969,202303,Chandler-Harris,MIO,Richardson-Ayala,WJR,Domestic,Europe,Jet,Narrow-body,Embraer,CRJ900,-900,4,225873,302,94,130,91,6712,897,2899,3631,220
2970,202403,"Carter, Cook and Flores",WOE,Waters-Wheeler,QJG,International,Africa,Helicopter,Narrow-body,Embraer,E190,-800,6,390295,285,288,87,21,19426,824,877,3090,150
2971,202007,"Mcdaniel, Hardy and Wilkins",DFT,"Espinoza, Bryant and Martinez",FKR,International,Asia,Helicopter,Narrow-body,Airbus,E190,-800,6,212407,479,122,16,39,20469,848,2166,2883,200
2972,202212,"Stephenson, Martinez and Johnson",YTZ,Freeman and Sons,TUD,Domestic,Africa,Jet,Narrow-body,Bombardier,A320,-800,9,197321,298,27,14,67,4142,307,736,4586,250
2973,202102,Ho Ltd,YHE,Wang-Hayden,AYK,International,North America,Jet,Wide-body,Airbus,CRJ900,-1000,1,231654,332,24,119,16,12985,128,1118,835,150
2974,202006,Mercado Ltd,ZFT,Caldwell-Whitaker,ZEF,International,Africa,Helicopter,Wide-body,Bombardier,CRJ900,-800,6,339926,146,23,161,18,4822,307,1006,2927,180
