Aircraft ID,Manufacturer,Model,Aircraft Type,Capacity
675,Boeing,Model_675,Regional Jet,131
676,Bombardier,Model_676,Regional Jet,78
677,Boeing,Model_677,Narrow Body,130
678,Airbus,Model_678,Turboprop,177
679,Embraer,Model_679,Narrow Body,233
680,Embraer,Model_680,Regional Jet,63
681,Airbus,Model_681,Wide Body,50
682,Boeing,Model_682,Regional Jet,73
683,Embraer,Model_683,Narrow Body,363
684,Cessna,Model_684,Wide Body,121
685,Cessna,Model_685,Regional Jet,384
686,Boeing,Model_686,Wide Body,300
687,Bombardier,Model_687,Wide Body,197
688,Boeing,Model_688,Wide Body,272
689,Airbus,Model_689,Regional Jet,295
690,Bombardier,Model_690,Regional Jet,385
691,Bombardier,Model_691,Regional Jet,227
692,Cessna,Model_692,Wide Body,151
693,Bombardier,Model_693,Turboprop,240
694,Boeing,Model_694,Wide Body,344
695,Embraer,Model_695,Wide Body,128
696,Embraer,Model_696,Wide Body,375
697,Bombardier,Model_697,Turboprop,243
698,Embraer,Model_698,Narrow Body,97
699,Cessna,Model_699,Regional Jet,321
700,Boeing,Model_700,Wide Body,329
701,Airbus,Model_701,Wide Body,197
702,Airbus,Model_702,Wide Body,195
703,Embraer,Model_703,Wide Body,206
704,Cessna,Model_704,Regional Jet,198
705,Cessna,Model_705,Wide Body,323
706,Bombardier,Model_706,Turboprop,364
707,Boeing,Model_707,Regional Jet,90
708,Boeing,Model_708,Regional Jet,325
709,Airbus,Model_709,Regional Jet,297
710,Embraer,Model_710,Regional Jet,176
711,Embraer,Model_711,Turboprop,59
712,Bombardier,Model_712,Wide Body,162
713,Boeing,Model_713,Regional Jet,256
714,Bombardier,Model_714,Narrow Body,303
715,Bombardier,Model_715,Turboprop,219
716,Embraer,Model_716,Turboprop,317
717,Embraer,Model_717,Wide Body,399
718,Airbus,Model_718,Narrow Body,163
719,Boeing,Model_719,Regional Jet,255
720,Airbus,Model_720,Narrow Body,186
721,Embraer,Model_721,Regional Jet,98
722,Bombardier,Model_722,Turboprop,179
723,Embraer,Model_723,Narrow Body,387
724,Boeing,Model_724,Regional Jet,116
725,Embraer,Model_725,Regional Jet,217
726,Bombardier,Model_726,Narrow Body,219
727,Airbus,Model_727,Narrow Body,205
728,Boeing,Model_728,Wide Body,88
729,Bombardier,Model_729,Regional Jet,265
730,Bombardier,Model_730,Turboprop,164
731,Boeing,Model_731,Wide Body,299
732,Cessna,Model_732,Wide Body,63
733,Boeing,Model_733,Narrow Body,333
734,Boeing,Model_734,Narrow Body,64
735,Cessna,Model_735,Regional Jet,299
736,Embraer,Model_736,Wide Body,342
737,Cessna,Model_737,Wide Body,331
738,Airbus,Model_738,Regional Jet,311
739,Embraer,Model_739,Regional Jet,255
740,Embraer,Model_740,Narrow Body,389
741,Embraer,Model_741,Regional Jet,281
742,Airbus,Model_742,Wide Body,194
743,Embraer,Model_743,Narrow Body,274
744,Boeing,Model_744,Regional Jet,366
745,Embraer,Model_745,Wide Body,379
746,Embraer,Model_746,Turboprop,348
747,Cessna,Model_747,Turboprop,254
748,Embraer,Model_748,Narrow Body,197
749,Airbus,Model_749,Narrow Body,91
750,Airbus,Model_750,Regional Jet,325
751,Embraer,Model_751,Narrow Body,276
752,Embraer,Model_752,Turboprop,390
753,Bombardier,Model_753,Narrow Body,296
754,Boeing,Model_754,Narrow Body,139
755,Embraer,Model_755,Turboprop,152
756,Cessna,Model_756,Regional Jet,219
757,Embraer,Model_757,Turboprop,74
758,Boeing,Model_758,Turboprop,144
759,Cessna,Model_759,Regional Jet,134
760,Bombardier,Model_760,Narrow Body,261
761,Boeing,Model_761,Narrow Body,100
762,Boeing,Model_762,Narrow Body,396
763,Embraer,Model_763,Wide Body,389
764,Airbus,Model_764,Regional Jet,312
765,Embraer,Model_765,Turboprop,117
766,Embraer,Model_766,Narrow Body,176
767,Bombardier,Model_767,Turboprop,281
768,Boeing,Model_768,Turboprop,320
769,Cessna,Model_769,Regional Jet,167
770,Bombardier,Model_770,Wide Body,157
771,Cessna,Model_771,Narrow Body,112
772,Embraer,Model_772,Regional Jet,264
773,Embraer,Model_773,Wide Body,345
774,Cessna,Model_774,Wide Body,166
775,Embraer,Model_775,Regional Jet,216
776,Boeing,Model_776,Wide Body,351
777,Cessna,Model_777,Narrow Body,230
778,Embraer,Model_778,Narrow Body,255
779,Airbus,Model_779,Regional Jet,268
780,Embraer,Model_780,Turboprop,71
781,Bombardier,Model_781,Turboprop,182
782,Bombardier,Model_782,Narrow Body,308
783,Embraer,Model_783,Wide Body,136
784,Airbus,Model_784,Regional Jet,221
785,Airbus,Model_785,Turboprop,341
786,Bombardier,Model_786,Wide Body,180
787,Embraer,Model_787,Narrow Body,216
788,Airbus,Model_788,Wide Body,122
789,Bombardier,Model_789,Wide Body,398
790,Embraer,Model_790,Turboprop,321
791,Airbus,Model_791,Narrow Body,264
792,Airbus,Model_792,Wide Body,215
793,Embraer,Model_793,Turboprop,320
794,Bombardier,Model_794,Turboprop,372
795,Airbus,Model_795,Regional Jet,142
796,Boeing,Model_796,Wide Body,251
797,Bombardier,Model_797,Regional Jet,114
798,Airbus,Model_798,Turboprop,82
799,Embraer,Model_799,Turboprop,324
800,Airbus,Model_800,Turboprop,340
801,Boeing,Model_801,Narrow Body,331
802,Embraer,Model_802,Narrow Body,178
803,Bombardier,Model_803,Wide Body,163
804,Boeing,Model_804,Narrow Body,129
805,Boeing,Model_805,Regional Jet,116
806,Bombardier,Model_806,Narrow Body,98
807,Airbus,Model_807,Wide Body,317
808,Embraer,Model_808,Wide Body,189
809,Boeing,Model_809,Wide Body,61
810,Embraer,Model_810,Turboprop,242
811,Airbus,Model_811,Wide Body,172
812,Boeing,Model_812,Turboprop,243
813,Airbus,Model_813,Regional Jet,223
814,Cessna,Model_814,Narrow Body,103
815,Airbus,Model_815,Narrow Body,310
816,Boeing,Model_816,Regional Jet,113
817,Cessna,Model_817,Regional Jet,226
818,Boeing,Model_818,Wide Body,128
819,Bombardier,Model_819,Narrow Body,73
820,Cessna,Model_820,Regional Jet,350
821,Boeing,Model_821,Wide Body,324
822,Boeing,Model_822,Narrow Body,105
823,Cessna,Model_823,Turboprop,206
824,Embraer,Model_824,Narrow Body,191
825,Bombardier,Model_825,Turboprop,225
826,Embraer,Model_826,Turboprop,392
827,Bombardier,Model_827,Regional Jet,278
828,Boeing,Model_828,Wide Body,56
829,Bombardier,Model_829,Turboprop,265
830,Cessna,Model_830,Wide Body,194
831,Airbus,Model_831,Narrow Body,221
832,Boeing,Model_832,Wide Body,50
833,Boeing,Model_833,Narrow Body,132
834,Cessna,Model_834,Turboprop,381
835,Bombardier,Model_835,Regional Jet,67
836,Bombardier,Model_836,Narrow Body,331
837,Cessna,Model_837,Narrow Body,102
838,Boeing,Model_838,Narrow Body,355
839,Cessna,Model_839,Turboprop,330
840,Airbus,Model_840,Wide Body,55
841,Airbus,Model_841,Wide Body,248
842,Embraer,Model_842,Narrow Body,92
843,Embraer,Model_843,Regional Jet,104
844,Boeing,Model_844,Regional Jet,220
845,Boeing,Model_845,Regional Jet,215
846,Airbus,Model_846,Turboprop,74
847,Cessna,Model_847,Regional Jet,111
848,Boeing,Model_848,Regional Jet,255
849,Embraer,Model_849,Wide Body,58
850,Boeing,Model_850,Narrow Body,89
851,Cessna,Model_851,Turboprop,77
852,Embraer,Model_852,Wide Body,337
853,Boeing,Model_853,Turboprop,58
854,Cessna,Model_854,Turboprop,161
855,Cessna,Model_855,Turboprop,270
856,Boeing,Model_856,Narrow Body,147
857,Bombardier,Model_857,Regional Jet,335
858,Cessna,Model_858,Wide Body,186
859,Embraer,Model_859,Narrow Body,251
860,Embraer,Model_860,Regional Jet,133
861,Boeing,Model_861,Regional Jet,229
862,Cessna,Model_862,Narrow Body,264
863,Cessna,Model_863,Narrow Body,243
864,Cessna,Model_864,Narrow Body,294
865,Bombardier,Model_865,Narrow Body,221
866,Boeing,Model_866,Narrow Body,108
867,Embraer,Model_867,Turboprop,127
868,Bombardier,Model_868,Regional Jet,113
869,Embraer,Model_869,Narrow Body,282
870,Cessna,Model_870,Narrow Body,338
871,Cessna,Model_871,Wide Body,399
872,Embraer,Model_872,Turboprop,391
873,Bombardier,Model_873,Regional Jet,352
874,Cessna,Model_874,Wide Body,265
875,Airbus,Model_875,Wide Body,363
876,Airbus,Model_876,Turboprop,178
877,Cessna,Model_877,Wide Body,52
878,Cessna,Model_878,Regional Jet,312
879,Cessna,Model_879,Turboprop,334
880,Bombardier,Model_880,Turboprop,298
881,Boeing,Model_881,Wide Body,250
882,Bombardier,Model_882,Narrow Body,356
883,Cessna,Model_883,Regional Jet,273
884,Boeing,Model_884,Narrow Body,271
885,Airbus,Model_885,Turboprop,294
886,Cessna,Model_886,Narrow Body,84
887,Embraer,Model_887,Turboprop,112
888,Bombardier,Model_888,Narrow Body,320
889,Embraer,Model_889,Narrow Body,245
890,Embraer,Model_890,Turboprop,272
891,Airbus,Model_891,Turboprop,322
892,Boeing,Model_892,Narrow Body,235
893,Embraer,Model_893,Regional Jet,55
894,Embraer,Model_894,Regional Jet,107
895,Boeing,Model_895,Regional Jet,173
896,Cessna,Model_896,Wide Body,119
897,Bombardier,Model_897,Regional Jet,135
898,Bombardier,Model_898,Regional Jet,140
899,Bombardier,Model_899,Wide Body,362
900,Airbus,Model_900,Regional Jet,255
901,Cessna,Model_901,Regional Jet,376
902,Cessna,Model_902,Wide Body,256
903,Bombardier,Model_903,Narrow Body,226
904,Cessna,Model_904,Turboprop,128
905,Boeing,Model_905,Narrow Body,232
906,Airbus,Model_906,Turboprop,300
907,Boeing,Model_907,Regional Jet,90
908,Embraer,Model_908,Narrow Body,123
909,Bombardier,Model_909,Turboprop,321
910,Airbus,Model_910,Regional Jet,72
911,Embraer,Model_911,Narrow Body,338
912,Embraer,Model_912,Regional Jet,90
913,Boeing,Model_913,Narrow Body,341
914,Airbus,Model_914,Regional Jet,163
915,Airbus,Model_915,Turboprop,248
916,Boeing,Model_916,Wide Body,231
917,Boeing,Model_917,Narrow Body,215
918,Airbus,Model_918,Regional Jet,336
919,Bombardier,Model_919,Wide Body,52
920,Airbus,Model_920,Turboprop,392
921,Embraer,Model_921,Wide Body,169
922,Bombardier,Model_922,Narrow Body,344
923,Boeing,Model_923,Turboprop,368
924,Boeing,Model_924,Turboprop,241
925,Airbus,Model_925,Narrow Body,155
926,Embraer,Model_926,Wide Body,247
927,Bombardier,Model_927,Regional Jet,387
928,Embraer,Model_928,Regional Jet,260
929,Boeing,Model_929,Wide Body,299
930,Airbus,Model_930,Turboprop,278
931,Embraer,Model_931,Narrow Body,360
932,Cessna,Model_932,Narrow Body,283
933,Bombardier,Model_933,Regional Jet,275
934,Boeing,Model_934,Regional Jet,161
935,Bombardier,Model_935,Wide Body,288
936,Cessna,Model_936,Turboprop,336
937,Embraer,Model_937,Regional Jet,217
938,Cessna,Model_938,Wide Body,144
939,Embraer,Model_939,Turboprop,310
940,Bombardier,Model_940,Narrow Body,169
941,Airbus,Model_941,Turboprop,345
942,Airbus,Model_942,Wide Body,127
943,Cessna,Model_943,Narrow Body,286
944,Bombardier,Model_944,Narrow Body,308
945,Cessna,Model_945,Wide Body,89
946,Cessna,Model_946,Wide Body,367
947,Airbus,Model_947,Narrow Body,180
948,Cessna,Model_948,Narrow Body,316
949,Airbus,Model_949,Narrow Body,111
950,Boeing,Model_950,Regional Jet,375
951,Bombardier,Model_951,Regional Jet,156
952,Bombardier,Model_952,Narrow Body,272
953,Boeing,Model_953,Narrow Body,177
954,Boeing,Model_954,Narrow Body,159
955,Boeing,Model_955,Regional Jet,263
956,Bombardier,Model_956,Wide Body,378
957,Bombardier,Model_957,Regional Jet,349
958,Bombardier,Model_958,Turboprop,396
959,Airbus,Model_959,Turboprop,279
960,Cessna,Model_960,Wide Body,268
961,Embraer,Model_961,Wide Body,191
962,Embraer,Model_962,Turboprop,359
963,Airbus,Model_963,Turboprop,295
964,Boeing,Model_964,Wide Body,121
965,Embraer,Model_965,Regional Jet,143
966,Embraer,Model_966,Regional Jet,264
967,Embraer,Model_967,Turboprop,224
968,Boeing,Model_968,Turboprop,333
969,Boeing,Model_969,Turboprop,338
970,Airbus,Model_970,Narrow Body,324
971,Bombardier,Model_971,Regional Jet,251
972,Airbus,Model_972,Narrow Body,376
973,Bombardier,Model_973,Turboprop,170
974,Cessna,Model_974,Narrow Body,285
975,Airbus,Model_975,Regional Jet,364
976,Embraer,Model_976,Regional Jet,87
977,Boeing,Model_977,Regional Jet,331
978,Boeing,Model_978,Wide Body,206
979,Airbus,Model_979,Regional Jet,196
980,Boeing,Model_980,Wide Body,243
981,Bombardier,Model_981,Regional Jet,221
982,Airbus,Model_982,Wide Body,277
983,Boeing,Model_983,Turboprop,153
984,Bombardier,Model_984,Narrow Body,186
985,Airbus,Model_985,Narrow Body,228
986,Cessna,Model_986,Wide Body,182
987,Embraer,Model_987,Wide Body,61
988,Cessna,Model_988,Turboprop,60
989,Cessna,Model_989,Wide Body,83
990,Cessna,Model_990,Wide Body,205
991,Cessna,Model_991,Narrow Body,284
992,Airbus,Model_992,Narrow Body,266
993,Cessna,Model_993,Narrow Body,398
994,Boeing,Model_994,Wide Body,281
995,Airbus,Model_995,Turboprop,302
996,Boeing,Model_996,Regional Jet,368
997,Airbus,Model_997,Regional Jet,329
998,Boeing,Model_998,Wide Body,121
999,Airbus,Model_999,Regional Jet,281
1000,Airbus,Model_1000,Wide Body,350
1001,Boeing,Model_1001,Turboprop,162
1002,Airbus,Model_1002,Regional Jet,116
1003,Cessna,Model_1003,Wide Body,150
1004,Embraer,Model_1004,Turboprop,380
1005,Embraer,Model_1005,Regional Jet,377
1006,Airbus,Model_1006,Wide Body,234
1007,Embraer,Model_1007,Turboprop,316
1008,Boeing,Model_1008,Narrow Body,71
1009,Airbus,Model_1009,Narrow Body,268
1010,Cessna,Model_1010,Narrow Body,329
1011,Boeing,Model_1011,Wide Body,263
1012,Airbus,Model_1012,Turboprop,133
1013,Cessna,Model_1013,Regional Jet,306
1014,Boeing,Model_1014,Narrow Body,166
1015,Bombardier,Model_1015,Turboprop,318
1016,Cessna,Model_1016,Narrow Body,293
1017,Cessna,Model_1017,Regional Jet,141
1018,Airbus,Model_1018,Turboprop,133
1019,Cessna,Model_1019,Turboprop,352
1020,Bombardier,Model_1020,Turboprop,327
1021,Boeing,Model_1021,Narrow Body,170
1022,Embraer,Model_1022,Turboprop,102
1023,Boeing,Model_1023,Wide Body,332
1024,Boeing,Model_1024,Narrow Body,307
1025,Airbus,Model_1025,Wide Body,349
1026,Boeing,Model_1026,Regional Jet,354
1027,Embraer,Model_1027,Regional Jet,367
1028,Boeing,Model_1028,Regional Jet,259
1029,Embraer,Model_1029,Turboprop,197
1030,Airbus,Model_1030,Narrow Body,384
1031,Boeing,Model_1031,Narrow Body,164
1032,Airbus,Model_1032,Regional Jet,304
1033,Airbus,Model_1033,Turboprop,65
1034,Embraer,Model_1034,Regional Jet,203
1035,Bombardier,Model_1035,Turboprop,130
1036,Boeing,Model_1036,Wide Body,392
1037,Bombardier,Model_1037,Wide Body,116
1038,Bombardier,Model_1038,Narrow Body,269
1039,Boeing,Model_1039,Narrow Body,367
1040,Airbus,Model_1040,Narrow Body,122
1041,Boeing,Model_1041,Wide Body,324
1042,Cessna,Model_1042,Turboprop,302
1043,Cessna,Model_1043,Narrow Body,99
1044,Embraer,Model_1044,Wide Body,135
1045,Cessna,Model_1045,Wide Body,242
1046,Airbus,Model_1046,Turboprop,120
1047,Embraer,Model_1047,Regional Jet,126
1048,Bombardier,Model_1048,Regional Jet,390
1049,Airbus,Model_1049,Turboprop,336
1050,Cessna,Model_1050,Regional Jet,370
1051,Cessna,Model_1051,Turboprop,124
1052,Embraer,Model_1052,Regional Jet,286
1053,Boeing,Model_1053,Narrow Body,368
1054,Cessna,Model_1054,Wide Body,365
1055,Airbus,Model_1055,Regional Jet,333
1056,Airbus,Model_1056,Turboprop,269
1057,Embraer,Model_1057,Narrow Body,220
1058,Boeing,Model_1058,Narrow Body,289
1059,Bombardier,Model_1059,Turboprop,237
1060,Cessna,Model_1060,Regional Jet,76
1061,Embraer,Model_1061,Turboprop,304
1062,Embraer,Model_1062,Wide Body,331
1063,Airbus,Model_1063,Turboprop,365
1064,Airbus,Model_1064,Wide Body,184
1065,Boeing,Model_1065,Turboprop,240
1066,Bombardier,Model_1066,Turboprop,221
1067,Cessna,Model_1067,Narrow Body,386
1068,Airbus,Model_1068,Narrow Body,366
1069,Boeing,Model_1069,Turboprop,247
1070,Airbus,Model_1070,Regional Jet,160
1071,Bombardier,Model_1071,Wide Body,199
1072,Bombardier,Model_1072,Narrow Body,57
1073,Airbus,Model_1073,Turboprop,78
1074,Embraer,Model_1074,Turboprop,353
1075,Airbus,Model_1075,Narrow Body,310
1076,Airbus,Model_1076,Narrow Body,138
1077,Airbus,Model_1077,Narrow Body,219
1078,Cessna,Model_1078,Turboprop,178
1079,Airbus,Model_1079,Turboprop,381
1080,Airbus,Model_1080,Regional Jet,334
1081,Airbus,Model_1081,Regional Jet,58
1082,Boeing,Model_1082,Narrow Body,200
1083,Airbus,Model_1083,Wide Body,152
1084,Boeing,Model_1084,Regional Jet,103
1085,Boeing,Model_1085,Narrow Body,80
1086,Airbus,Model_1086,Regional Jet,273
1087,Boeing,Model_1087,Turboprop,396
1088,Bombardier,Model_1088,Regional Jet,383
1089,Airbus,Model_1089,Wide Body,67
1090,Cessna,Model_1090,Regional Jet,140
1091,Embraer,Model_1091,Regional Jet,193
1092,Bombardier,Model_1092,Wide Body,214
1093,Embraer,Model_1093,Narrow Body,307
1094,Embraer,Model_1094,Narrow Body,146
1095,Bombardier,Model_1095,Narrow Body,69
1096,Bombardier,Model_1096,Wide Body,325
1097,Cessna,Model_1097,Regional Jet,209
1098,Embraer,Model_1098,Turboprop,310
1099,Embraer,Model_1099,Regional Jet,305
1100,Embraer,Model_1100,Regional Jet,108
1101,Boeing,Model_1101,Narrow Body,335
1102,Embraer,Model_1102,Narrow Body,86
1103,Cessna,Model_1103,Turboprop,209
1104,Boeing,Model_1104,Wide Body,259
1105,Boeing,Model_1105,Turboprop,206
1106,Airbus,Model_1106,Regional Jet,308
1107,Cessna,Model_1107,Regional Jet,149
1108,Bombardier,Model_1108,Narrow Body,287
1109,Bombardier,Model_1109,Wide Body,267
1110,Embraer,Model_1110,Turboprop,365
1111,Cessna,Model_1111,Regional Jet,288
1112,Cessna,Model_1112,Regional Jet,347
1113,Bombardier,Model_1113,Turboprop,89
1114,Airbus,Model_1114,Narrow Body,50
1115,Embraer,Model_1115,Regional Jet,215
1116,Embraer,Model_1116,Narrow Body,169
1117,Bombardier,Model_1117,Turboprop,354
1118,Embraer,Model_1118,Narrow Body,90
1119,Cessna,Model_1119,Regional Jet,307
1120,Boeing,Model_1120,Narrow Body,145
1121,Cessna,Model_1121,Wide Body,185
1122,Cessna,Model_1122,Narrow Body,314
1123,Boeing,Model_1123,Narrow Body,326
1124,Embraer,Model_1124,Narrow Body,103
1125,Bombardier,Model_1125,Narrow Body,114
1126,Cessna,Model_1126,Turboprop,318
1127,Embraer,Model_1127,Narrow Body,154
1128,Bombardier,Model_1128,Turboprop,372
1129,Airbus,Model_1129,Narrow Body,192
1130,Airbus,Model_1130,Narrow Body,341
1131,Airbus,Model_1131,Regional Jet,185
1132,Cessna,Model_1132,Regional Jet,99
1133,Bombardier,Model_1133,Regional Jet,337
1134,Boeing,Model_1134,Wide Body,148
1135,Bombardier,Model_1135,Regional Jet,146
1136,Bombardier,Model_1136,Wide Body,371
1137,Airbus,Model_1137,Narrow Body,375
1138,Boeing,Model_1138,Wide Body,100
1139,Cessna,Model_1139,Wide Body,238
1140,Embraer,Model_1140,Narrow Body,270
1141,Embraer,Model_1141,Narrow Body,96
1142,Airbus,Model_1142,Turboprop,377
1143,Boeing,Model_1143,Regional Jet,325
1144,Embraer,Model_1144,Narrow Body,175
1145,Cessna,Model_1145,Narrow Body,247
1146,Bombardier,Model_1146,Regional Jet,219
1147,Embraer,Model_1147,Narrow Body,324
1148,Cessna,Model_1148,Regional Jet,127
1149,Cessna,Model_1149,Regional Jet,264
1150,Embraer,Model_1150,Wide Body,132
1151,Boeing,Model_1151,Turboprop,378
1152,Bombardier,Model_1152,Narrow Body,214
1153,Cessna,Model_1153,Wide Body,293
1154,Cessna,Model_1154,Narrow Body,63
1155,Boeing,Model_1155,Turboprop,355
1156,Airbus,Model_1156,Narrow Body,372
1157,Cessna,Model_1157,Wide Body,305
1158,Airbus,Model_1158,Wide Body,254
1159,Bombardier,Model_1159,Turboprop,157
1160,Bombardier,Model_1160,Turboprop,149
1161,Bombardier,Model_1161,Regional Jet,250
1162,Bombardier,Model_1162,Regional Jet,362
1163,Cessna,Model_1163,Wide Body,68
1164,Airbus,Model_1164,Wide Body,96
1165,Cessna,Model_1165,Wide Body,384
1166,Bombardier,Model_1166,Narrow Body,219
1167,Airbus,Model_1167,Narrow Body,184
1168,Cessna,Model_1168,Turboprop,62
1169,Cessna,Model_1169,Turboprop,209
1170,Embraer,Model_1170,Narrow Body,347
1171,Embraer,Model_1171,Narrow Body,163
1172,Cessna,Model_1172,Turboprop,234
1173,Boeing,Model_1173,Narrow Body,240
1174,Airbus,Model_1174,Wide Body,202
1175,Airbus,Model_1175,Wide Body,150
1176,Embraer,Model_1176,Narrow Body,190
1177,Bombardier,Model_1177,Wide Body,99
1178,Boeing,Model_1178,Narrow Body,88
1179,Embraer,Model_1179,Narrow Body,198
1180,Cessna,Model_1180,Narrow Body,111
1181,Airbus,Model_1181,Wide Body,236
1182,Cessna,Model_1182,Turboprop,255
1183,Embraer,Model_1183,Wide Body,290
1184,Bombardier,Model_1184,Wide Body,226
1185,Cessna,Model_1185,Turboprop,318
1186,Boeing,Model_1186,Regional Jet,147
1187,Bombardier,Model_1187,Wide Body,334
1188,Cessna,Model_1188,Wide Body,87
1189,Bombardier,Model_1189,Wide Body,295
1190,Airbus,Model_1190,Turboprop,143
1191,Embraer,Model_1191,Turboprop,77
1192,Cessna,Model_1192,Wide Body,260
1193,Bombardier,Model_1193,Wide Body,267
1194,Cessna,Model_1194,Narrow Body,328
1195,Boeing,Model_1195,Narrow Body,378
1196,Bombardier,Model_1196,Regional Jet,165
1197,Boeing,Model_1197,Narrow Body,363
1198,Cessna,Model_1198,Narrow Body,151
1199,Boeing,Model_1199,Regional Jet,171
1200,Airbus,Model_1200,Regional Jet,54
1201,Airbus,Model_1201,Wide Body,84
1202,Bombardier,Model_1202,Wide Body,271
1203,Embraer,Model_1203,Regional Jet,156
1204,Boeing,Model_1204,Regional Jet,115
1205,Bombardier,Model_1205,Wide Body,77
1206,Bombardier,Model_1206,Regional Jet,106
1207,Bombardier,Model_1207,Turboprop,224
1208,Boeing,Model_1208,Narrow Body,148
1209,Boeing,Model_1209,Turboprop,324
1210,Cessna,Model_1210,Regional Jet,61
1211,Cessna,Model_1211,Turboprop,147
1212,Boeing,Model_1212,Turboprop,206
1213,Embraer,Model_1213,Turboprop,312
1214,Boeing,Model_1214,Turboprop,177
1215,Airbus,Model_1215,Regional Jet,221
1216,Bombardier,Model_1216,Wide Body,210
1217,Embraer,Model_1217,Narrow Body,392
1218,Embraer,Model_1218,Turboprop,339
1219,Boeing,Model_1219,Narrow Body,301
1220,Boeing,Model_1220,Turboprop,51
1221,Cessna,Model_1221,Regional Jet,188
1222,Boeing,Model_1222,Turboprop,151
1223,Bombardier,Model_1223,Turboprop,250
1224,Bombardier,Model_1224,Narrow Body,377
1225,Embraer,Model_1225,Regional Jet,54
1226,Embraer,Model_1226,Wide Body,218
1227,Bombardier,Model_1227,Regional Jet,263
1228,Boeing,Model_1228,Turboprop,288
1229,Airbus,Model_1229,Turboprop,303
1230,Bombardier,Model_1230,Regional Jet,350
1231,Bombardier,Model_1231,Regional Jet,195
1232,Cessna,Model_1232,Wide Body,69
1233,Cessna,Model_1233,Narrow Body,368
1234,Bombardier,Model_1234,Narrow Body,148
1235,Airbus,Model_1235,Regional Jet,106
1236,Cessna,Model_1236,Narrow Body,314
1237,Bombardier,Model_1237,Regional Jet,288
1238,Bombardier,Model_1238,Narrow Body,144
1239,Airbus,Model_1239,Narrow Body,363
1240,Embraer,Model_1240,Regional Jet,268
1241,Airbus,Model_1241,Narrow Body,363
1242,Bombardier,Model_1242,Regional Jet,290
1243,Cessna,Model_1243,Turboprop,122
1244,Boeing,Model_1244,Wide Body,365
1245,Bombardier,Model_1245,Turboprop,291
1246,Cessna,Model_1246,Turboprop,298
1247,Airbus,Model_1247,Regional Jet,233
1248,Airbus,Model_1248,Regional Jet,238
1249,Boeing,Model_1249,Regional Jet,181
1250,Embraer,Model_1250,Wide Body,321
1251,Embraer,Model_1251,Turboprop,145
1252,Embraer,Model_1252,Narrow Body,274
1253,Boeing,Model_1253,Narrow Body,290
1254,Boeing,Model_1254,Narrow Body,186
1255,Cessna,Model_1255,Regional Jet,302
1256,Embraer,Model_1256,Narrow Body,257
1257,Boeing,Model_1257,Wide Body,185
1258,Bombardier,Model_1258,Regional Jet,70
1259,Embraer,Model_1259,Regional Jet,372
1260,Embraer,Model_1260,Regional Jet,251
1261,Boeing,Model_1261,Turboprop,346
1262,Embraer,Model_1262,Turboprop,261
1263,Bombardier,Model_1263,Turboprop,373
1264,Embraer,Model_1264,Regional Jet,270
1265,Airbus,Model_1265,Turboprop,366
1266,Cessna,Model_1266,Regional Jet,114
1267,Cessna,Model_1267,Wide Body,196
1268,Airbus,Model_1268,Turboprop,399
1269,Cessna,Model_1269,Regional Jet,171
1270,Airbus,Model_1270,Turboprop,346
1271,Boeing,Model_1271,Turboprop,393
1272,Embraer,Model_1272,Narrow Body,313
1273,Boeing,Model_1273,Wide Body,224
1274,Cessna,Model_1274,Wide Body,343
1275,Airbus,Model_1275,Wide Body,239
1276,Boeing,Model_1276,Wide Body,191
1277,Airbus,Model_1277,Regional Jet,277
1278,Boeing,Model_1278,Wide Body,291
1279,Boeing,Model_1279,Narrow Body,226
1280,Cessna,Model_1280,Turboprop,315
1281,Bombardier,Model_1281,Narrow Body,379
1282,Embraer,Model_1282,Turboprop,162
1283,Embraer,Model_1283,Narrow Body,217
1284,Cessna,Model_1284,Narrow Body,222
1285,Embraer,Model_1285,Narrow Body,260
1286,Airbus,Model_1286,Turboprop,108
1287,Airbus,Model_1287,Narrow Body,262
1288,Embraer,Model_1288,Narrow Body,195
1289,Bombardier,Model_1289,Regional Jet,267
1290,Bombardier,Model_1290,Regional Jet,315
1291,Embraer,Model_1291,Turboprop,175
1292,Cessna,Model_1292,Narrow Body,303
1293,Airbus,Model_1293,Turboprop,286
1294,Cessna,Model_1294,Wide Body,214
1295,Airbus,Model_1295,Wide Body,287
1296,Embraer,Model_1296,Wide Body,360
1297,Bombardier,Model_1297,Regional Jet,165
1298,Cessna,Model_1298,Turboprop,136
1299,Cessna,Model_1299,Wide Body,63
1300,Bombardier,Model_1300,Turboprop,372
1301,Airbus,Model_1301,Regional Jet,69
1302,Bombardier,Model_1302,Turboprop,151
1303,Airbus,Model_1303,Wide Body,245
1304,Airbus,Model_1304,Regional Jet,365
1305,Bombardier,Model_1305,Narrow Body,63
1306,Airbus,Model_1306,Turboprop,333
1307,Boeing,Model_1307,Turboprop,291
1308,Embraer,Model_1308,Turboprop,116
1309,Embraer,Model_1309,Wide Body,302
1310,Bombardier,Model_1310,Turboprop,397
1311,Bombardier,Model_1311,Turboprop,282
1312,Cessna,Model_1312,Wide Body,298
1313,Boeing,Model_1313,Wide Body,386
1314,Cessna,Model_1314,Wide Body,328
1315,Bombardier,Model_1315,Wide Body,245
1316,Airbus,Model_1316,Wide Body,64
1317,Embraer,Model_1317,Regional Jet,188
